Player,Club,Market Value
Marcão,Sevilla FC,4000000
Tanguy Nianzou,Sevilla FC,3000000
Adrià Pedrosa,Sevilla FC,6000000
Juanlu Sánchez,Sevilla FC,15000000
Nemanja Gudelj,Sevilla FC,3500000
Djibril Sow,Sevilla FC,7500000
Manu Bueno,Sevilla FC,500000
Stanis Idumbo,Sevilla FC,800000
Dodi Lukébakio,Sevilla FC,12000000
Suso,Sevilla FC,3000000
Isaac Romero,Sevilla FC,18000000
Álvaro Valles,UD Las Palmas,7500000
Mika Mármol,UD Las Palmas,15000000
Alex Suárez,UD Las Palmas,1200000
Juanma Herzog,UD Las Palmas,1000000
Daley Sinkgraven,UD Las Palmas,1000000
Enzo Loiodice,UD Las Palmas,4000000
Javi Muñoz,UD Las Palmas,3000000
José Campaña,UD Las Palmas,1500000
Fabio González,UD Las Palmas,500000
Alberto Moleiro,UD Las Palmas,20000000
Kirian Rodríguez,UD Las Palmas,12000000
Pejiño,UD Las Palmas,1200000
Benito Ramírez,UD Las Palmas,600000
Sandro Ramírez,UD Las Palmas,1500000
Marc Cardona,UD Las Palmas,1400000
Sergio Herrera,CA Osasuna,6000000
Aitor Fernández,CA Osasuna,1800000
Jorge Herrando,CA Osasuna,6000000
Alejandro Catena,CA Osasuna,4000000
Unai García,CA Osasuna,1200000
Juan Cruz,CA Osasuna,2200000
Jesús Areso,CA Osasuna,7500000
Rubén Peña,CA Osasuna,2200000
Iker Muñoz,CA Osasuna,5000000
Lucas Torró,CA Osasuna,4000000
Jon Moncayola,CA Osasuna,7000000
Pablo Ibáñez,CA Osasuna,2500000
Aimar Oroz,CA Osasuna,15000000
Moi Gómez,CA Osasuna,3500000
José Manuel Arnáiz,CA Osasuna,2000000
Rubén García,CA Osasuna,2500000
Kike Barja,CA Osasuna,2000000
Ante Budimir,CA Osasuna,5000000
Raúl García,CA Osasuna,4000000
Dominik Greif,RCD Mallorca,4000000
Iván Cuéllar,RCD Mallorca,100000
Martin Valjent,RCD Mallorca,6000000
José Copete,RCD Mallorca,2800000
Siebe Van der Heyden,RCD Mallorca,2000000
Antonio Raíllo,RCD Mallorca,2000000
Toni Lato,RCD Mallorca,3500000
Pablo Maffeo,RCD Mallorca,5000000
Samú Costa,RCD Mallorca,12000000
Omar Mascarell,RCD Mallorca,1000000
Sergi Darder,RCD Mallorca,6000000
Manu Morlanes,RCD Mallorca,2500000
Antonio Sánchez,RCD Mallorca,2500000
Dani Rodríguez,RCD Mallorca,1000000
Javi Llabrés,RCD Mallorca,700000
Vedat Muriqi,RCD Mallorca,12000000
Cyle Larin,RCD Mallorca,4000000
Abdón Prats,RCD Mallorca,1800000
Antonio Sivera,Deportivo Alavés,6000000
Jesús Owono,Deportivo Alavés,1000000
Abdel Abqar,Deportivo Alavés,7500000
Adrián Pica,Deportivo Alavés,500000
Aleksandar Sedlar,Deportivo Alavés,400000
Nahuel Tenaglia,Deportivo Alavés,2500000
Antonio Blanco,Deportivo Alavés,7500000
Carlos Protesoni,Deportivo Alavés,1500000
Ander Guevara,Deportivo Alavés,5000000
Jon Guridi,Deportivo Alavés,5000000
Abde Rebbach,Deportivo Alavés,800000
Carlos Vicente,Deportivo Alavés,8000000
Kike García,Deportivo Alavés,1000000
Iván Villar,Celta de Vigo,1200000
Vicente Guaita,Celta de Vigo,800000
Carl Starfelt,Celta de Vigo,6000000
Joseph Aidoo,Celta de Vigo,3000000
Carlos Domínguez,Celta de Vigo,3000000
Mihailo Ristic,Celta de Vigo,1000000
Óscar Mingueza,Celta de Vigo,12000000
Javier Manquillo,Celta de Vigo,1800000
Jailson,Celta de Vigo,1500000
Fran Beltrán,Celta de Vigo,6000000
Luca de la Torre,Celta de Vigo,3000000
Hugo Sotelo,Celta de Vigo,2500000
Jonathan Bamba,Celta de Vigo,6000000
Williot Swedberg,Celta de Vigo,5000000
Franco Cervi,Celta de Vigo,1000000
Tadeo Allende,Celta de Vigo,3000000
Anastasios Douvikas,Celta de Vigo,6000000
Iago Aspas,Celta de Vigo,3000000
Joan García,RCD Espanyol Barcelona,10000000
Fernando Pacheco,RCD Espanyol Barcelona,1000000
Fernando Calero,RCD Espanyol Barcelona,1800000
Leandro Cabrera,RCD Espanyol Barcelona,1200000
Sergi Gómez,RCD Espanyol Barcelona,1000000
Brian Oliván,RCD Espanyol Barcelona,2500000
Omar El Hilali,RCD Espanyol Barcelona,3000000
Álvaro Aguado,RCD Espanyol Barcelona,2800000
José Gragera,RCD Espanyol Barcelona,2500000
Edu Expósito,RCD Espanyol Barcelona,2000000
Pol Lozano,RCD Espanyol Barcelona,2000000
Javi Puado,RCD Espanyol Barcelona,8000000
Pere Milla,RCD Espanyol Barcelona,2000000
Jofre Carreras,RCD Espanyol Barcelona,2500000
Salvi Sánchez,RCD Espanyol Barcelona,1200000
Omar Sadik,RCD Espanyol Barcelona,300000
David Soria,Getafe CF,5000000
Omar Alderete,Getafe CF,5000000
Djené,Getafe CF,2500000
Domingos Duarte,Getafe CF,1000000
Fabrizio Angileri,Getafe CF,1000000
Juan Iglesias,Getafe CF,2800000
Mauro Arambarri,Getafe CF,5000000
Luis Milla,Getafe CF,3500000
Carles Aleñá,Getafe CF,3000000
Yellu Santiago,Getafe CF,1000000
John Patrick,Getafe CF,200000
Alberto Risco,Getafe CF,200000
Borja Mayoral,Getafe CF,15000000
Dani Cárdenas,Rayo Vallecano,1800000
Abdul Mumin,Rayo Vallecano,4000000
Florian Lejeune,Rayo Vallecano,3000000
Aridane Hernández,Rayo Vallecano,500000
Alfonso Espino,Rayo Vallecano,2400000
Pep Chavarría,Rayo Vallecano,2000000
Andrei Rațiu,Rayo Vallecano,4000000
Iván Balliu,Rayo Vallecano,2000000
Óscar Valentín,Rayo Vallecano,4000000
Unai López,Rayo Vallecano,3000000
Pathé Ciss,Rayo Vallecano,2500000
Randy Nteka,Rayo Vallecano,1500000
Oscar Trejo,Rayo Vallecano,1000000
Álvaro García,Rayo Vallecano,3000000
Isi Palazón,Rayo Vallecano,8000000
Jorge de Frutos,Rayo Vallecano,4000000
Sergio Camello,Rayo Vallecano,4000000
Raúl de Tomás,Rayo Vallecano,1000000
Sergio González,CD Leganés,1800000
Jorge Sáenz,CD Leganés,1500000
Yvan Neyou,CD Leganés,2000000
Julián Chicco,CD Leganés,1000000
Seydouba Cissé,CD Leganés,2000000
Darko Brasanac,CD Leganés,1400000
Dani Raba,CD Leganés,2200000
Diego García,CD Leganés,2000000
Javi Sánchez,Real Valladolid CF,1500000
David Torres,Real Valladolid CF,1000000
Luis Pérez,Real Valladolid CF,2000000
Lucas Rosa,Real Valladolid CF,2000000
César de la Hoz,Real Valladolid CF,500000
Anuar,Real Valladolid CF,900000
Kenedy,Real Valladolid CF,1000000
Iván Sánchez,Real Valladolid CF,1000000
Mamadou Sylla,Real Valladolid CF,1500000
Marcos André,Real Valladolid CF,1500000
